region id,Abbreviation,x,y,z
146,PRNr,207.087,212.498,379.918
238,RPO,227.746,201.624,407.356
350,SLC,189.319,187.741,424.932
358,SLD,220.591,189.378,425.477
207,AP,227.685,200.418,506.13
903,ECU,173.616,193.627,498.781
642,NTB,223.705,270.489,396.775
651,NTS,211.865,210.278,492.137
429,SPVC,159.2,235.841,513.302
437,SPVI,149.914,234.87,484.262
445,SPVO,151.47,236.476,445.558
589508451,Pa5,149.264,206.513,498.857
653,VI,227.707,208.587,430.853
661,VII,173.599,271.018,434.108
576,ACVII,183.158,253.017,422.062
135,AMB,172.945,264.712,475.326
839,DMX,227.698,214.309,500.747
1048,GRN,226.893,245.451,453.967
372,ICB,173.454,157.1,458.581
83,IO,226.352,282.779,481.418
136,IRN,200.733,241.201,469.475
106,ISN,169.813,220.009,448.778
203,LIN,179.31,251.27,476.012
235,LRN,176.608,279.51,493.679
307,MARN,227.698,270.23,447.298
395,MDRN,nan,nan,nan
852,PARN,169.065,239.029,457.927
859,PAS,205.032,202.417,497.535
1069,PPY,217.581,281.204,434.555
765,x,158.229,202.317,466.886
773,XII,227.662,227.108,501.341
781,y,149.27,179.442,450.854
206,RM,227.73,260.956,421.312
230,RPA,227.702,284.104,466.494
222,RO,227.637,261.433,478.226
583,CLA,110.964,190.554,183.409
131,LA,83.422,209.267,290.646
295,BLA,95.8258,241.119,288.401
319,BMA,114.33,255.219,279.955
780,PA,124.496,248.82,317.302
10671,ME,227.714,291.699,287.367
302,SCs,215.832,61.134,368.166
4,IC,187.45,82.8525,416.342
580,NB,143.673,132.236,362.084
271,SAG,151.649,149.983,378.511
874,PBG,142.042,153.772,376.116
460,MEV,191.802,160.133,420.279
599626923,SCO,227.706,122.937,312.775
381,SNr,161.3,206.697,337.627
749,VTA,216.835,205.413,332.912
607344830,PN,227.748,209.025,342.94
246,RR,181.359,182.697,360.311
128,MRN,202.116,158.073,358.073
294,SCm,205.841,90.6902,366.38
795,PAG,225.88,124.911,371.527
616,CUN,173.306,136.536,404.24
214,RN,214.746,174.059,347.709
35,III,227.746,151.766,364.118
549009211,MA3,227.727,170.082,334.918
975,EW,227.924,161.322,344.93
115,IV,227.982,151.051,383.507
606826663,Pa4,227.778,156.488,383.648
757,VTN,227.812,178.055,396.722
231,AT,227.631,185.985,382.158
66,LT,132.161,177.518,330.319
75,DT,147.818,125.204,347.058
58,MT,186.222,212.401,332.731
374,SNc,171.745,204.987,334.164
1052,PPN,177.801,170.841,387.247
912,LING,227.659,162.439,451.645
920,CENT,218.245,119.151,439.055
928,CUL,201.032,90.7214,456.292
936,DEC,215.328,82.0504,493.16
944,FOTU,215.494,109.906,514.218
951,PYR,220.543,138.266,512.605
957,UVU,219.51,171.068,506.227
968,NOD,216.473,171.437,476.953
1007,SIM,134.75,98.2489,442.821
1017,AN,109.227,117.517,472.879
1025,PRM,125.142,159.932,496.359
1033,COPY,150.858,167.332,495.047
1041,PFL,79.8921,213.095,445.693
1049,FL,101.992,208.788,421.488
989,FN,201.635,147.787,468.337
91,IP,153.996,156.968,460.951
846,DN,127.202,170.139,447.084
589508455,VeCB,181.015,164.848,452.847
1009,fiber tracts,173.683,169.961,296.138
