,Soma_x,Soma_y,Soma_z,Manually_corrected_soma_region,Cortical_layer,Transgenic_line,Brain_id
18454_01010,6966.73,4001.38,3611.42,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01011,6982.4,4172.48,3585.42,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01012,6820.7,4161.8,3617.9,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01013,6935.88,4159.08,3928.42,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01014,6790.38,4280.95,4024.45,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01015,6831.23,4480.45,3830.52,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01018,6885.42,4563.55,4159.9,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01021,7347.5,2746.18,3769.1,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01022,7067.75,3153.18,3481.35,RT,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01023,7116.42,3545.18,3102.72,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01027,7502.52,3385.62,3378.4,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01030,7209.2,3777.52,3101.72,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01031,7259.15,3747.85,3110.53,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01032,7298.8,3944.57,3122.75,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01033,7253.88,3943,3160.5,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01034,7446.17,3718.02,3182.03,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01035,7337.92,3820.35,3192.25,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01038,7039.3,3698.07,3190.92,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01039,7263.2,3730.62,3293.02,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01040,7036.15,3715.93,3308.55,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01041,7208.6,3648.85,3330.95,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01042,7202.73,3773.7,3327.2,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01043,7184.48,3704.88,3464.3,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01044,7143.73,3895.62,3285.85,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01045,7188.12,3800.65,3192.5,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01047,7226.25,3881.25,3444,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01048,7436.27,3842.32,3422.23,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01049,7461.02,3950.75,3472.73,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01050,7835.23,3556.32,3039.42,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01051,7024.52,3612.9,3439.12,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01052,7042.15,3680.15,3690.33,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01053,7177.15,3628.8,3644.35,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01054,7348.92,3735.45,3593.65,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01055,7207.08,3976.82,3211.25,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01056,6995.15,4137.88,3476.17,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01059,7058.77,4126.08,3615.9,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01060,7316.35,4093.8,3709.98,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01061,7256.58,4132.25,3672.05,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01062,6993.45,4166.1,3810.8,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01063,7207.52,4085.35,3742.35,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01064,7123.8,4428.3,3835.73,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01066,7022.12,4584.35,4103.95,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01067,7168.33,4471.7,4196.27,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01069,6983.02,4720.98,3987.98,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01073,7255.25,4744.55,4252.55,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01074,7303.6,4672.12,4126.08,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01078,5620.58,3552.45,3377.93,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01080,7154.08,3800.62,3694.43,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01081,7351.88,3803.95,3669.88,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01082,7093.75,3843.15,3658.7,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01085,7303.27,3840.7,3603.02,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01086,7217.85,3877.5,3492.98,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01089,7438.62,3914.98,3387.18,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01090,7074.88,3897.82,3310.5,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01091,7177.1,3721.25,3295.05,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01092,7549.02,3777.93,3446.73,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01093,7615.35,3843.2,3467.93,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01095,7236.25,3944.9,3722.12,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01096,7355.5,4028.75,3704.98,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01097,7274.62,4056.73,3710.7,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01098,7116.6,4020.82,3715.73,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01100,6922.45,4166.9,3527.12,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01101,7098.92,4135.88,3551.82,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01103,7165.5,4038.27,3622.38,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01104,7443.02,3967.23,3591.5,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01105,7280.77,4066,3517.27,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01106,7196.3,4027.82,3435.1,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01107,7426.9,4107.58,3671.27,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01108,7423.17,4238.27,3562.98,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01109,7002.92,4019.35,3308.15,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01110,7119.15,4111.85,3307.25,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01111,7040.15,4142.4,3338.82,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01112,7187.02,3970.93,3319.38,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01113,7429.15,3985.8,3359.25,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01114,7329.65,4099.98,3349.38,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01115,7152.23,4122.83,3407.8,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01116,7145.7,4164.05,3284.3,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01117,7380.33,4150.6,3308.23,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01118,7216.3,4243,3235.35,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01119,7106.75,4241.95,3678.27,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01120,6828.83,4321.98,3569.52,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01121,6809.6,4319.9,3510,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01122,6976.62,4461.83,3633.3,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01123,7292.67,4340.15,3275.88,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01124,7153.5,4405.92,3296.32,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01125,7547.92,3995.77,3503.52,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01126,7500.75,3951.3,3434.62,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01127,7477.12,4028.35,3384.35,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01130,6818.73,4802.05,3727.45,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01131,6320.88,4993.95,5194.25,RE,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01132,7075.83,4847.3,3629.98,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01133,7172.95,4816.1,3675.12,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18454_01134,6982.83,4958.52,3755.98,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454
18455_00002,6693.85,3280.45,2579.78,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00004,4932.5,2855.4,4407.73,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00005,5071.95,2952.32,3365.2,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00007,5036.1,3066.7,3320.9,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00008,5406.25,3002.9,3355.2,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00009,5400.2,3101.2,3173.38,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00012,4687.23,3263.1,3549.27,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00013,4892.1,3265.88,3994.52,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00014,5483.77,3253.38,4083.95,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00015,6790.55,3404.95,3785,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00016,4485.05,3033.48,4366.98,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00017,8076.77,3308.18,3484.77,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00018,7379.77,2925.7,3726,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00019,6828.35,3617.62,3437.45,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00020,7075.17,3636.82,3527.67,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00021,7094.55,3631.6,3560.3,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00022,6967.98,3462.7,3807.58,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00023,6876.98,3193.75,4354.85,PO,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00026,5483.55,2444.45,3791.4,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00028,5454.4,2734.18,3382.7,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00030,4090.7,3324.65,4200.65,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00031,5202.05,2964.5,3814.85,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00032,5524.27,3017.48,3615.18,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00033,4722.02,3073.75,3346.82,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00036,4910.27,3461.2,3435.95,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00037,5182.67,3426.55,2835.32,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00040,6263.42,2893.32,3142.25,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00041,6702,3312.57,2363.75,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00042,7306.33,3048.62,3365.65,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00043,7810.3,3135.73,3082.7,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00044,7755.52,3146.1,3307.57,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00045,7800.75,3275.62,3257.5,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00046,7759.02,3350.62,2891.25,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00047,7003.4,3471.6,3603.55,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00048,7377.9,3504.4,3571.12,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00049,7104.08,3629.9,3271.85,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00050,8228.17,3491.48,3225.93,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00106,5060.45,3437.15,3020.92,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00110,4958.52,3959.6,2704.95,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00119,5602.12,4009.02,2979.6,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00120,6759.27,3850.52,3461.35,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00121,6712.1,3906.52,3500.5,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00122,6784.1,3668.15,3831.12,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00123,6716.42,3654.45,4044.92,PO,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00124,6532.15,4095.1,4041.27,PO,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00125,6712.95,4796.58,3852.35,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00126,5914.3,4299.17,5558.3,PVT,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00127,6041.35,4536.75,5539.85,CM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00132,6480.05,4929.9,5416.42,SMT,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00133,6609.2,4907.98,5597.55,SMT,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00134,6516,4832.73,5674.1,RE,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00135,7309.2,4234.15,2001.1,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00136,7086.52,3792.52,3516.7,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00137,6824.6,3871.4,3484.85,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00138,7126.4,3790.5,3411.25,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00139,6881.55,3966.2,3560.27,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00140,6803.65,3688.85,3561.73,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00141,6837.88,3595.45,3770.35,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00142,6989.9,3799.05,3801,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00143,7201.25,3716.25,3749.33,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00144,7244.77,3745.85,3898.35,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00145,6864.48,4210.83,3725.77,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00146,6893.1,4101.25,3872.35,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00147,6794.8,4171.55,3838.52,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00148,6823.05,4131,3932.55,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00149,6823.1,4234.75,4225.08,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00150,7059.3,4660.6,4283.02,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00151,7291.62,4249.65,4290.45,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00152,6901.9,4624.08,3630.9,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00153,6850.02,4685.02,3748.05,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00154,6971.52,4639.27,4074.88,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00155,6850.77,4792.8,4108.05,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00156,6851.4,3846.65,4429.95,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00157,7137.9,4390.83,4541.77,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00158,7436.7,4243.33,4606.1,VPMpc,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00159,7002.85,4581,4501.67,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00163,6646.42,3877.2,5102.05,MD,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00164,5958.58,4351,5291.2,IAD,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00165,6021.23,4299.98,5346.83,MD,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00166,6220.3,4578.25,5123.02,AM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00167,6748.58,4472.6,4131.38,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00172,5100.3,3976.4,4040.6,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00180,4386.9,4118.52,3176.12,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00181,4337.15,4299.73,3291.55,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00182,5236.5,4148,2994,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00199,6637.52,4041.57,4176.12,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00200,6627.2,4077.77,3763.55,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00201,6693.83,4032.8,3792.02,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00202,6609.52,3823.52,3748.35,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00203,6688.85,3881.25,3712.57,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00204,6815.9,3714.75,3436.88,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00205,6615.62,3770.15,3492.7,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00206,6804.27,4004.1,3457.23,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00207,6675.2,4153.48,3818.43,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00208,6608.8,4273.08,3782.6,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00209,6604.98,4386.27,3942.35,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00210,6668.42,4577.2,3911.1,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00220,5571.98,5236.25,2664.93,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00224,5333.25,4163.58,2434.2,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00240,5728.42,3786.55,2781.77,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00252,7024.95,3669.75,3830.8,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00253,7110.45,3721.15,3835.02,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00254,6933.17,3641.82,3707.75,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00255,7053.23,3569.25,3721.38,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00256,7436.75,3979.1,3801.38,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00257,7663.1,3921.55,3735.95,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00258,7013.2,3719,3455.7,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00259,7092.12,3666.68,3423.73,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00260,7202.17,3675.23,3364.62,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00261,7162.92,3773.02,3393.77,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00262,6913.33,3939.57,3340.75,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00263,6909.55,4143.92,4031.25,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_00264,6897.27,4637.15,3920.35,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_3718_x10944_y12140,5113.88,3612.95,2962.38,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_4619_x10185_y12182,6044.33,3728.43,2870.88,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_4709_x21225_y13716,5914.48,4357.9,5187.62,IAD,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_4844_x20256_y14088,6042.33,4539.3,5539.85,unknown,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
18455_4982_x21552_y14337,6221.02,4575.62,5123.15,AM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,18455
